# Carga hábil (cursos que aún puede llevar) — CS-2021-1
# codigo	tipo	ciclo	creditos
CC2104	Obligatorio	4	3
CS2042	Obligatorio	5	3
CS3014	Obligatorio	6	4
CS3015	Obligatorio	6	4
CS3033	Obligatorio	6	4
CS4016	Obligatorio	7	4
CS4052	Obligatorio	7	4
CS4053	Obligatorio	7	4
CS4054	Obligatorio	7	3
CS4091	Obligatorio	8	3
CS5055	Obligatorio	9	4
CS5101	Obligatorio	9	4
HH5101	Obligatorio	9	3
GI5101	Obligatorio	10	3
AD2101	Electivo	-	4
AD2102	Electivo	-	3
AM1001	Electivo	-	2
AM1003	Electivo	-	3
AM2002	Electivo	-	3
BI4011	Electivo	-	2
BI4013	Electivo	-	4
BI4430	Electivo	-	2
BI4431	Electivo	-	3
BI4432	Electivo	-	3
BI4433	Electivo	-	2
BI4434	Electivo	-	2
BI4435	Electivo	-	2
BI4437	Electivo	-	3
BI4438	Electivo	-	2
BI4439	Electivo	-	3
BI4440	Electivo	-	2
BI5318	Electivo	-	4
BI5319	Electivo	-	4
BI5321	Electivo	-	4
BI5323	Electivo	-	4
CC2102	Electivo	-	4
CI3091	Electivo	-	3
CL0011	Electivo	-	4
CL0012	Electivo	-	4
CL0013	Electivo	-	4
CL0014	Electivo	-	4
CL0015	Electivo	-	3
CL0016	Electivo	-	2
CS5362	Electivo	-	4
CS5363	Electivo	-	4
CS5364	Electivo	-	4
CS5371	Electivo	-	4
CS5382	Electivo	-	4
CS5383	Electivo	-	4
CS5384	Electivo	-	4
CS5394	Electivo	-	4
DS1000	Electivo	-	2
DS2011	Electivo	-	4
DS3021	Electivo	-	4
DS4341	Electivo	-	4
DS6001	Electivo	-	3
EL3012	Electivo	-	5
EL3014	Electivo	-	5
EL3301	Electivo	-	4
EL3302	Electivo	-	4
EL3304	Electivo	-	5
EL4013	Electivo	-	4
EL5308	Electivo	-	4
EL5309	Electivo	-	4
EL5311	Electivo	-	4
EL5313	Electivo	-	4
EL5314	Electivo	-	4
EL5316	Electivo	-	4
EL5318	Electivo	-	4
EN3013	Electivo	-	4
EN3015	Electivo	-	4
EN3018	Electivo	-	4
EN5301	Electivo	-	4
EN5302	Electivo	-	4
EN5303	Electivo	-	4
EN5307	Electivo	-	4
EN5308	Electivo	-	4
EN5309	Electivo	-	4
EN5401	Electivo	-	4
EN5402	Electivo	-	4
EN5403	Electivo	-	4
EN5404	Electivo	-	4
EN5405	Electivo	-	4
EN5406	Electivo	-	4
GE2413	Electivo	-	3
GE3401	Electivo	-	1
GE3402	Electivo	-	2
GE3411	Electivo	-	4
GE3412	Electivo	-	4
GE4403	Electivo	-	3
GE4404	Electivo	-	3
GE4405	Electivo	-	2
GE4406	Electivo	-	3
GE4413	Electivo	-	2
GE4416	Electivo	-	2
GE4417	Electivo	-	2
GE4419	Electivo	-	2
GE4420	Electivo	-	2
GE4421	Electivo	-	2
GE4425	Electivo	-	2
GE4426	Electivo	-	2
GE4427	Electivo	-	2
GE4428	Electivo	-	2
GE4429	Electivo	-	2
GE4430	Electivo	-	2
GE4431	Electivo	-	2
GE4432	Electivo	-	2
GE4438	Electivo	-	2
GE4447	Electivo	-	2
GE4452	Electivo	-	2
GE4453	Electivo	-	2
GE4456	Electivo	-	2
GE4459	Electivo	-	2
GE4462	Electivo	-	2
GE4463	Electivo	-	2
GE4466	Electivo	-	2
GE5407	Electivo	-	2
GE5408	Electivo	-	3
GE5409	Electivo	-	4
GE8410	Electivo	-	4
GI3201	Electivo	-	3
HH2201	Electivo	-	3
HH2202	Electivo	-	3
HH2203	Electivo	-	3
HH2204	Electivo	-	3
HH2205	Electivo	-	3
HH2206	Electivo	-	3
HH2207	Electivo	-	3
HH3201	Electivo	-	3
HH3202	Electivo	-	3
HH4201	Electivo	-	3
HH4202	Electivo	-	3
HH4203	Electivo	-	3
HH4204	Electivo	-	3
HH4205	Electivo	-	3
IN2003	Electivo	-	4
IN2004	Electivo	-	4
IN2005	Electivo	-	4
IN2006	Electivo	-	4
IN3004	Electivo	-	3
IN3005	Electivo	-	4
IN3006	Electivo	-	4
IN3008	Electivo	-	4
IN3012	Electivo	-	4
IN4301	Electivo	-	4
IN4306	Electivo	-	4
IN5309	Electivo	-	4
IQ4220	Electivo	-	4
IQ4221	Electivo	-	4
IQ4222	Electivo	-	4
IQ5330	Electivo	-	4
IS1000	Electivo	-	2
IS2011	Electivo	-	3
IS3012	Electivo	-	3
IS4024	Electivo	-	4
IS6001	Electivo	-	3
ME3013	Electivo	-	4
ME3016	Electivo	-	4
ME3017	Electivo	-	4
ME5301	Electivo	-	4
ME5302	Electivo	-	4
ME5303	Electivo	-	4
ME5304	Electivo	-	4
ME5305	Electivo	-	4
ME5306	Electivo	-	4
ME5307	Electivo	-	4
ME5308	Electivo	-	4
ME5309	Electivo	-	4
ME5312	Electivo	-	4
ME5401	Electivo	-	4
ME5402	Electivo	-	4
ME5403	Electivo	-	4
ME5404	Electivo	-	4
MT3001	Electivo	-	4
MT4001	Electivo	-	4
MT4002	Electivo	-	4
MT4003	Electivo	-	4
MT5001	Electivo	-	4
MT5306	Electivo	-	4
MT5310	Electivo	-	5
